Location,Sub Location,Sub Location 1,Sub Location 2,Sub Location 3,Sub Location 4,Sub Location 5
Ground,Apt 1,Bedroom 1,Walk in robe,,,
,,,Bathroom,,,
,,,Balcony,,,
,,,Ensuite,,,
,,Bedroom 2,Walk in robe,,,
,,,Bathroom,,,
,,,Balcony,,,
,,,Ensuite,,,
,,Bathroom,,,,
,,Kitchen,,,,
,,Washroom,,,,
,,Dinning,,,,
,,Balcony,,,,
,,Balcony 2,,,,
,Apt 2,Bedroom 1,Walk in robe,,,
,,,Bathroom,,,
,,,Balcony,,,
,,,Ensuite,,,
,,Bedroom 2,Walk in robe,,,
,,,Bathroom,,,
,,,Balcony,,,
,,,Ensuite,,,
,,Bathroom,,,,
,,Kitchen,,,,
,,Washroom,,,,
,,Dinning,,,,
,,Balcony,,,,
,,Balcony 2,,,,
Basement,Carpark,,,,,
,Services Room,,,,,
