Location,Sub Location,Sub Location 1,Sub Location 2,Sub Location 3,Sub Location 4,Sub Location 5
Ground,Apartment 001,Bedroom 1,Walk in robe,,,
,,,Ensuite,,,
,,Bedroom 2,,,,
,,Main Bathroom,,,,
,,Kitchen,,,,
,,Dinning,,,,
,,Living Room,,,,
,,Balcony,,,,
,,Entry,,,,
,,Laundry,,,,
,,,,,,
,Apartment 002,Bedroom 1,Walk in robe,,,
,,,Ensuite,,,
,,Bedroom 2,,,,
,,Bedroom 3,,,,
,,Main Bathroom,,,,
,,Kitchen,,,,
,,Dinning,,,,
,,Living Room,,,,
,,Balcony,,,,
,,Entry,,,,
,,Study Area,,,,
,,Laundry,,,,
Level 1,Apartment 101,Bedroom 1,Walk in robe,,,
,,,Ensuite,,,
,,Bedroom 2,,,,
,,Main Bathroom,,,,
,,Kitchen,,,,
,,Dinning,,,,
,,Living Room,,,,
,,Balcony,,,,
,,Entry,,,,
,,Laundry,,,,
,Apartment 102,Bedroom 1,Walk in robe,,,
,,,Ensuite,,,
,,Bedroom 2,,,,
,,Bedroom 3,,,,
,,Main Bathroom,,,,
,,Kitchen,,,,
,,Dinning,,,,
,,Living Room,,,,
,,Balcony,,,,
,,Entry,,,,
,,Study Area,,,,
,,Laundry,,,,
