Date,Non working day,Description
1/01/2017,Public holidays,
2/01/2017,Public holidays,
3/01/2017,Annual leave,
4/01/2017,Annual leave,
5/01/2017,Annual leave,
6/01/2017,Annual leave,
7/01/2017,Annual leave,
8/01/2017,Annual leave,
9/01/2017,Annual leave,
10/01/2017,Rostered day off,
11/01/2017,School holidays,
12/01/2017,School holidays,
13/01/2017,School holidays,
14/01/2017,School holidays,
15/01/2017,School holidays,
16/01/2017,School holidays,
17/01/2017,School holidays,
18/01/2017,School holidays,
19/01/2017,School holidays,
20/01/2017,School holidays,
21/01/2017,School holidays,
22/01/2017,School holidays,
23/01/2017,School holidays,
24/01/2017,School holidays,
25/01/2017,School holidays,
27/01/2017,Rostered day off,
28/01/2017,Annual leave,
29/01/2017,Annual leave,
30/01/2017,School holidays,
6/02/2017,Rostered day off,
20/02/2017,Rostered day off,
11/03/2017,Annual leave,
12/03/2017,Annual leave,
13/03/2017,Public holidays,
14/03/2017,Rostered day off,
27/03/2017,Rostered day off,
1/04/2017,School holidays,
2/04/2017,School holidays,
3/04/2017,School holidays,
4/04/2017,School holidays,
5/04/2017,School holidays,
6/04/2017,School holidays,
7/04/2017,School holidays,
8/04/2017,School holidays,
9/04/2017,School holidays,
10/04/2017,School holidays,
11/04/2017,School holidays,
12/04/2017,School holidays,
13/04/2017,School holidays,
14/04/2017,Public holiday,
15/04/2017,Annual leave,
16/04/2017,Annual leave,
17/04/2017,Public holidays,
18/04/2017,Rostered day off,
19/04/2017,Rostered day off,
24/04/2017,Rostered day off,
25/04/2017,Public holidays,
8/05/2017,Rostered day off,
22/05/2017,Rostered day off,
10/06/2017,Annual leave,
11/06/2017,Annual leave,
12/06/2017,Public holidays,
13/06/2017,Rostered day off,
26/06/2017,Rostered day off,
1/07/2017,School holidays,
2/07/2017,School holidays,
3/07/2017,School holidays,
4/07/2017,School holidays,
5/07/2017,School holidays,
6/07/2017,School holidays,
7/07/2017,School holidays,
8/07/2017,School holidays,
9/07/2017,School holidays,
10/07/2017,Rostered day off,
11/07/2017,School holidays,
12/07/2017,School holidays,
13/07/2017,School holidays,
14/07/2017,School holidays,
15/07/2017,School holidays,
16/07/2017,School holidays,
24/07/2017,Rostered day off,
7/08/2017,Rostered day off,
21/08/2017,Rostered day off,
4/09/2017,Rostered day off,
18/09/2017,Rostered day off,
23/09/2017,School holidays,
24/09/2017,School holidays,
25/09/2017,School holidays,
26/09/2017,School holidays,
27/09/2017,School holidays,
28/09/2017,School holidays,
29/09/2017,Public holidays,
30/09/2017,Annual leave,
1/10/2017,Annual leave,
2/10/2017,Rostered day off,
3/10/2017,School holidays,
4/10/2017,School holidays,
5/10/2017,School holidays,
6/10/2017,School holidays,
7/10/2017,School holidays,
8/10/2017,School holidays,
16/10/2017,Rostered day off,
4/11/2017,Annual leave,
5/11/2017,Annual leave,
6/11/2017,Rostered day off,
7/11/2017,Public holidays,
8/11/2017,Rostered day off,
20/11/2017,Rostered day off,
23/12/2017,Annual leave,
24/12/2017,Annual leave,
25/12/2017,Public holidays,
26/12/2017,Public holidays,
27/12/2017,Rostered day off,
28/12/2017,Rostered day off,
29/12/2017,Annual leave,
30/12/2017,Annual leave,
31/12/2017,Annual leave,
