Location,Sub Location,Sub Location 1,Sub Location 2,Sub Location 3,Sub Location 4,Sub Location 5
Ground,Apartment 1,Bedroom 1,Walk in robe,,,
,,,Bathroom,,,
,,,,Untitled Location,,
,,,Balcony,,,
,,Bedroom 2,Walk in robe,,,
,,,Bathroom,,,
,,,Balcony,,,
,,Ensuite,,,,
,,Barhtroom,,,,
,,Kitchen,,,,
,,,Washroom,,,
,,Dinning,,,,
,,,Untitled Location,,,
,,Balcony,,,,
,,Balcony 2,,,,
,Apartment 2,,,,,
,,Bedroom 1,Walk in robe,,,
,,,Bathroom,,,
,,,Balcony,,,
,,Bedroom 2,Walk in robe,,,
,,,Bathroom,,,
,,,Balcony,,,
,,Ensuite,,,,
,,Barhtroom,,,,
,,Kitchen,,,,
,,,Washroom,,,
,,Dinning,,,,
,,Balcony,,,,
