,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3
Task,B5,B7,B8,B9,B10,B6 (Prototype),B11,B1,B2,B3,B4,B12,B13,Hallway/ Lobby,B20,B21,B22,B23,B24,B25,B26,B27,B14,B15,B16,B17,B18,B19,B28,B29,Hallway/ Lobby,B36,B37,B38,B39,B40,B41,B42,B43,B30,B31,B32,B33,B34,B35,B44,B45,Hallway/ Lobby,B51,B52,B53,B54,B55,B56,B57,B58,B46,B47,B48,B49,B50,B59,B60,Hallway/ Lobby
Correct Balcony Fall & Patching,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11
,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11
Patch Setdowns & PT Pockets,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11
,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11
Fire Sprinklers,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11
,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11
Hydronic Sewer Risers & Lagging,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/10/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,9/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11
,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,3/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,7/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,30/11/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11
Frame Walls,8/11/11,8/11/11,8/11/11,8/11/11,8/11/11,8/11/11,8/11/11,12/11/11,12/11/11,12/11/11,12/11/11,12/11/11,12/11/11,12/11/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12
